impl,n,p,k,d,n_tr,n_te,t_total,t_comp,t_comm,acc,flops,gflops_total,gflops_comp
mpi,14376,1,7,64,10782,3594,0.8914313081000002,0.8850803354,0.006350972700000112,1.0,7440097536.0,8.346237638722663,8.406126809537069
mpi,14376,2,7,64,10782,3594,0.4924213709,0.48384993299999995,0.012438138599999937,1.0,7440097536.0,15.109209257920126,15.376870034618772
mpi,14376,4,7,64,10782,3594,0.2590718981000001,0.24801425900000001,0.058817627200000035,1.0,7440097536.0,28.718273153378334,29.9986684878469
mpi,14376,8,7,64,10782,3594,0.1683687082,0.157637294,0.04142034040000001,1.0,7440097536.0,44.189312940277105,47.19757201617531
mpi,14376,16,7,64,10782,3594,0.1269952969,0.11433808229999994,0.035104892500000054,1.0,7440097536.0,58.585614724445755,65.07103658148378
mpi,14376,32,7,64,10782,3594,0.12154994380000002,0.10239216080000002,0.032621094,1.0,7440097536.0,61.21020959287353,72.66276517528087
