impl,n,p,k,d,n_tr,n_te,t_total,t_comp,t_comm,acc,flops,gflops_total,gflops_comp,variant,threads,nodes,reps,t_bcast,t_scatter,t_gather,t_total_std,t_comp_std,t_comm_std,t_total_max,t_comp_max,t_comm_max
mpi,2000,1,7,64,1000,1000,0.01103812626666667,0.010945315066666657,9.281120000001289e-05,0.962,192000000.0,17.394256539699903,17.541751775124794,v3,1,2,15,4.155000000001981e-06,6.830506666667032e-05,2.03511333333406e-05,7.773081830034684e-05,7.48347755701605e-05,3.877168097633189e-06,0.01103812626666667,0.010945315066666657,9.281120000001289e-05
mpi,3000,2,7,64,2000,1000,0.022290207933333327,0.011389844199999997,0.01090036373333333,0.992,384000000.0,17.227295552759603,33.71424518695349,v3,1,2,15,0.000258291999999997,0.0045265758666666695,0.006115495866666664,4.931960262912635e-05,6.256285092060606e-05,3.982153424514883e-05,0.022290207933333327,0.012057665333333332,0.01090036373333333
mpi,5000,4,7,64,4000,1000,0.03610583153333335,0.016576239266666657,0.019529592266666684,0.993,768000000.0,21.270802177508997,46.33137756067383,v3,1,2,15,0.000494750000000015,0.010661669666666663,0.008373172600000008,0.0004043798560416501,0.0006728309201916457,0.00034380967438758645,0.03610583153333335,0.01700681180000001,0.019529592266666684
mpi,9000,8,7,64,8000,1000,0.057220704,0.018886463200000016,0.03833424079999999,1.0,1536000000.0,26.843430657546612,81.32809111660455,v3,1,2,15,0.0006706570666666782,0.02401672239999999,0.013646861333333317,0.0006615531588788223,0.0002896720677712621,0.0006798590250832497,0.057220704,0.021233598799999996,0.038420404133333315
mpi,17000,16,7,64,16000,1000,0.07213364206666667,0.027429120133333325,0.04470452193333334,1.0,3072000000.0,42.587618093105924,111.99775950037647,v3,1,2,15,0.00048368913333332044,0.020865499200000016,0.023355333600000007,0.001184479866667845,0.0009162750100487391,0.001690062651895789,0.07213364206666667,0.030597874533333336,0.04492020186666669
mpi,33000,32,7,64,32000,1000,0.2108145732666667,0.05512675766666668,0.15568781560000003,1.0,6144000000.0,29.14409523400567,111.45222864639966,v3,1,2,15,0.005949481266666738,0.10223686613333333,0.04750146819999996,0.009750070667322197,0.000857096959040191,0.009631480121702706,0.2108145732666667,0.06606313159999996,0.15624710919999998
mpi,4000,1,7,64,2000,2000,0.0513828428,0.0510495094,0.0003333333999999993,0.9925,768000000.0,14.946623389237622,15.04421901457098,v3,1,2,15,5.809200000001883e-06,0.0002554969999999916,7.202720000000588e-05,0.0007641795997612038,0.0007362230903010362,0.0001027689170850215,0.0513828428,0.0510495094,0.0003333333999999993
mpi,6000,2,7,64,4000,2000,0.07391139733333334,0.05161424286666667,0.02229715446666667,0.9925,1536000000.0,20.781639306219404,29.7592275831285,v3,1,2,15,0.0004472010000000045,0.008899409866666663,0.012950543600000001,0.0008318995519494177,0.0002738254635067951,0.0006050442411357213,0.07391139733333334,0.05342800993333333,0.02229715446666667
mpi,10000,4,7,64,8000,2000,0.10097274140000002,0.05954304726666668,0.04142969413333335,1.0,3072000000.0,30.424052644370406,51.59292547191759,v3,1,2,15,0.0006506435333333283,0.01990893113333334,0.020870119466666684,0.0011972169358670719,0.0004336386567394561,0.0012146011385242934,0.10097274140000002,0.06249528026666664,0.04142969413333335
mpi,18000,8,7,64,16000,2000,0.1587728284000001,0.0760656706666667,0.08270715773333341,1.0,6144000000.0,38.69679756867011,80.77231090124874,v3,1,2,15,0.0010742014666666503,0.04171909393333337,0.03991386233333339,0.0005274404901644317,0.0010951853660323377,0.0009409650364306446,0.1587728284000001,0.08408879066666662,0.08296596853333339
mpi,34000,16,7,64,32000,2000,0.22856390399999998,0.10848140466666667,0.12008249933333331,1.0,12288000000.0,53.76176983746305,113.27286955545628,v3,1,2,15,0.0009151203333332895,0.0443152872,0.07485209180000002,0.006580365796899637,0.0014209197631287257,0.006837240125219131,0.22856441606666664,0.1408035300666667,0.12393692606666672
mpi,66000,32,7,64,64000,2000,0.6139957352,0.21568479220000025,0.39831094299999975,1.0,24576000000.0,40.026336651987876,113.94405581090372,v3,1,2,15,0.08935192806666674,0.18655372739999992,0.1224052875333331,0.0011837767427337383,0.0018873007371644748,0.002569893575422355,0.6139957352,0.3113725244666667,0.40038080646666663
mpi,8000,1,7,64,4000,4000,0.23571427726666666,0.2350235659333334,0.0006907113333332641,0.993,3072000000.0,13.03272773979917,13.071029655261894,v3,1,2,15,6.4344000000030965e-06,0.0005526655333332927,0.00013161139999996833,0.002097770985336349,0.0019231521855013146,0.00029784705360027055,0.23571427726666666,0.2350235659333334,0.0006907113333332641
mpi,12000,2,7,64,8000,4000,0.2884396063333334,0.23529593946666666,0.05314366686666674,1.0,6144000000.0,21.300819530656707,26.1117978233126,v3,1,2,15,0.0010965710666666518,0.017508847200000024,0.034538248600000064,0.0007223868855379635,0.000599750618228736,0.00045427252106262765,0.2884396063333334,0.24818198333333333,0.05314366686666674
mpi,20000,4,7,64,16000,4000,0.36748094733333325,0.2641786889999999,0.10330225833333333,1.0,12288000000.0,33.43846827752364,46.51397145815953,v3,1,2,15,0.04164760826666661,0.03712104213333336,0.024533607933333354,0.0009832199164814843,0.000513246449578238,0.0012356090777538755,0.36748094733333325,0.2723912425333334,0.10330225833333333
mpi,36000,8,7,64,32000,4000,0.5139267338666665,0.32244992120000016,0.19147681266666647,1.0,24576000000.0,47.82004589466641,76.21648629511276,v3,1,2,15,0.035787947133333345,0.09088862379999992,0.06480024173333322,0.0014894979139837387,0.0015093803208306416,0.0022825190907875487,0.5139267338666665,0.3697284824666667,0.1970207769333334
mpi,68000,16,7,64,64000,4000,0.8023435923333334,0.47489244960000015,0.32745114273333326,1.0,49152000000.0,61.26053784147355,103.50132970402144,v3,1,2,15,0.025018978000000008,0.1260192635333332,0.17641290120000003,0.005358062325107027,0.0024469510124417206,0.004701139960355054,0.8023435923333334,0.6247794481333334,0.33575188773333325
mpi,132000,32,7,64,128000,4000,1.9337716199333328,1.1044983086666669,0.8292733112666663,1.0,98304000000.0,50.83537217460511,89.00330514645246,v3,1,2,15,0.22376089746666666,0.32753432826666684,0.2779780855333327,0.0024843675042093595,0.0026843754327072725,0.0027311184981201695,1.9337731920666663,1.3269881410000004,0.8368690702000002
