impl,n,p,k,d,n_tr,n_te,t_total,t_comp,t_comm,acc,flops,gflops_total,gflops_comp,variant,threads,nodes,reps,t_bcast,t_scatter,t_gather,t_total_std,t_comp_std,t_comm_std,t_total_max,t_comp_max,t_comm_max
mpi,14376,1,7,64,10782,3594,0.5648419615333331,0.5582105168000003,0.0066314447333328955,1.0,7440097536.0,13.171998616751026,13.328479690155481,v2,1,2,15,0.0012144799999998254,0.00503518806666657,0.0003817766666665001,0.001533359831608443,0.001093525002776875,0.001587591401873733,0.5648419615333331,0.5582105168000003,0.0066314447333328955
mpi,14376,2,7,64,10782,3594,0.3447587602,0.28189272433333346,0.06286603586666654,1.0,7440097536.0,21.580590241373073,26.393364900053996,v2,1,2,15,0.0019298442000000415,0.023055334999999847,0.03788085666666666,0.001053597186891043,0.0006707695698634401,0.00120455889551495,0.3447587602,0.2976219745333334,0.06286603586666654
mpi,14376,4,7,64,10782,3594,0.2602332943333334,0.1681528780666666,0.09208041626666681,1.0,7440097536.0,28.59010625469761,44.24603147767871,v2,1,2,15,0.039163225666666655,0.016398359333333373,0.036518831266666774,0.001201473372007628,0.0015064254007003293,0.0015825095572118708,0.2602332943333334,0.17920019226666653,0.09208041626666681
mpi,14376,8,7,64,10782,3594,0.22091190673333339,0.10887633953333334,0.11203556720000005,1.0,7440097536.0,33.679024575986624,68.33530193878492,v2,1,2,15,0.024341368066666702,0.04777552553333333,0.039918673600000024,0.0014064894349213241,0.0008577020392981301,0.0014492898451215943,0.22091190673333339,0.11803632613333336,0.11205456240000003
mpi,14376,16,7,64,10782,3594,0.17428120693333335,0.06959817399999994,0.10468303293333342,1.0,7440097536.0,42.6901882705346,106.90075771240788,v2,1,2,15,0.024465836399999958,0.017815914866666744,0.06240128166666671,0.0024791843589606734,0.001368028043471052,0.0023899727168455137,0.17428120693333335,0.09315799600000005,0.10468303293333342
mpi,14376,32,7,64,10782,3594,0.4331207173999999,0.06136632499999991,0.3717543924,1.0,7440097536.0,17.177884218197875,121.24072178022737,v2,1,2,15,0.19037163686666667,0.08623650566666673,0.09514624986666663,0.00255873266289834,0.001333503886714862,0.002483211800163658,0.4331207173999999,0.09224558066666659,0.3717543924
mpi,14376,1,7,64,10782,3594,0.5607465436,0.5593205322666666,0.0014260113333332658,1.0,7440097536.0,13.2682004390691,13.302028276789226,v3,1,2,15,6.5671999999109925e-06,0.0012937322666666696,0.00012571186666668528,0.0024893551791533254,0.0024912902115791103,0.00029984211488298266,0.5607465436,0.5593205322666666,0.0014260113333332658
mpi,14376,2,7,64,10782,3594,0.3415994332,0.2816945347333334,0.059904898466666606,1.0,7440097536.0,21.780181150487927,26.411934271437605,v3,1,2,15,0.0007768823333333286,0.022335886666666593,0.036792129466666684,0.0008715086907808012,0.0007699751125884729,0.0011983008311102137,0.3415994332,0.29728733040000005,0.059904898466666606
mpi,14376,4,7,64,10782,3594,0.2557275674,0.17053902173333338,0.08518854566666664,1.0,7440097536.0,29.093842371567483,43.62695094870341,v3,1,2,15,0.03702336933333331,0.02001626419999997,0.028148912133333356,0.0007616148363728818,0.0006075638567020476,0.0007457183412791545,0.2557275674,0.17801595533333334,0.08727574980000007
mpi,14376,8,7,64,10782,3594,0.21857020799999993,0.10772311953333331,0.1108470884666666,1.0,7440097536.0,34.039852018624615,69.0668592613285,v3,1,2,15,0.017607713933333262,0.052626723333333326,0.04061265120000002,0.00080080987252439,0.0017096840098258011,0.0018944912672295945,0.21857020799999993,0.12254027773333331,0.11345167799999996
mpi,14376,16,7,64,10782,3594,0.16247979799999998,0.06736290533333333,0.09511689266666665,1.0,7440097536.0,45.790908331877674,110.44799061418155,v3,1,2,15,0.022809499866666635,0.016081801866666686,0.05622559093333333,0.003325549080898275,0.004100101802809111,0.005139970705548412,0.16248043786666663,0.09524504226666662,0.09519532746666663
mpi,14376,32,7,64,10782,3594,0.43308709026666675,0.06813334813333352,0.36495374213333326,1.0,7440097536.0,17.17921799843739,109.19905948904939,v3,1,2,15,0.18890996133333335,0.08513926739999991,0.09090451339999996,0.0006102108578479493,0.0032942194397984252,0.003393367368067724,0.43308715120000013,0.10415841366666675,0.36495374213333326
