impl,n,p,k,d,n_tr,n_te,t_total,t_comp,t_comm,acc,flops,gflops_total,gflops_comp,variant,threads,nodes,reps,t_bcast,t_scatter,t_gather,t_total_std,t_comp_std,t_comm_std,t_total_max,t_comp_max,t_comm_max
mpi,1797,8,7,64,1348,449,0.014679510600000003,0.0017637839333333346,0.012915726666666667,0.9844097995545658,116208384.0,7.9163663671457805,65.88583885123641,v3,1,2,15,0.00028232046666666855,0.009945802400000018,0.0026876037999999814,7.592020270727839e-05,2.189628310097699e-05,8.222467268029691e-05,0.014679510600000003,0.001955031066666666,0.012941221533333344
mpi,3594,8,7,64,2696,898,0.032137689066666655,0.006658136866666673,0.025479552199999977,0.9866369710467706,464833536.0,14.463813345002684,69.81435577378181,v3,1,2,15,0.0006460147333333305,0.01975373053333333,0.005079806933333319,0.0003998896116073823,0.0002688231548080982,0.00043871377050276204,0.03213778799999999,0.007885278400000008,0.02691714779999999
mpi,7188,8,7,64,5391,1797,0.07667884359999998,0.026183965533333308,0.050494878066666686,0.9922092376182526,1860024384.0,24.257334835446063,71.03677178432386,v3,1,2,15,0.0013664578666666427,0.03697250106666671,0.012155919133333332,0.0008390861301360264,0.0003325460962019371,0.0009822528047219777,0.07667884359999998,0.028330651733333323,0.05123231573333329
mpi,14376,8,7,64,10782,3594,0.21594733166666663,0.10369946426666662,0.11224786740000002,1.0,7440097536.0,34.45329691539988,71.74673069542136,v3,1,2,15,0.022913573333333315,0.047282673266666686,0.04205162080000002,0.002848761075888286,0.0015873783236286774,0.003012902078600974,0.215950744,0.11856589719999998,0.11384600486666653
mpi,28752,8,7,64,21564,7188,0.6528545958000002,0.38388758846666676,0.2689670073333334,1.0,29760390144.0,45.58502051675378,77.52371016439912,v3,1,2,15,0.09130972280000017,0.043193503533333275,0.13446378099999995,0.008935339668206116,0.0014779579546395595,0.008910164472131348,0.6528547916666667,0.4600645604,0.27067859520000004
