p,tiempo_s,energia_J,potencia_W,J_por_consulta
1,5.466220092,613.62159800000000000000,112.25702362370227078664,.17073500222593210907
2,3.927522907,456.27165900000000000000,116.17288296060344276433,.12695371702838063439
4,3.379075299,411.76090900000000000000,121.85609155317020948102,.11456897857540345019
8,3.215981697,415.32523100000000000000,129.14415258875150246229,.11556072092376182526
16,3.629678426,476.84149100000000000000,131.37293033572996750098,.13267709821925431274
